"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11530","Check total price equals subtotal plus tax","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkTotalPriceEqualsSubtotalPlusTax"
"","11318","Check total price equals subtotal plus tax","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Edge","tests.CheckoutTest","checkTotalPriceEqualsSubtotalPlusTax"
"","11279","Checks checkout with not empty cart and valid firstName, lastName, zipCode","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutWithPositiveUserData"
"","1422","Check checkout with empty user data","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutWithEmptyUserData"
"","11240","Check subtotal Price equals to sum of items","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkSubtotalPriceEqualsToSumOfItems"
"","805","Checks login with valid username and password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithPositiveCred"
"","598","Checks login with valid username and empty password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithEmptyPassword"
"","811","Checks login with empty username and valid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUserName"
"","1930","Multiple items added to cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkMultipleItemsAddedToCart"
"","733","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNotValidCred"
"","12465","Check subtotal Price equals to sum of items","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSubtotalPriceEqualsToSumOfItems"
"","998","Checks login with valid username and password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithPositiveCred"
"","730","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNotValidCred"
"","1003","Checks login with valid username and password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","599","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNotValidCred"
"","21325","Check checkout with cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithEmptyCart"
"","3396","Multiple items added to cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkMultipleItemsAddedToCart"
"","1750","Check checkout with empty user data","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithEmptyUserData"
"","508","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNotValidCred"
"","734","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNotValidCred"
"","21885","Check checkout with cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutWithEmptyCart"
"","512","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNotValidCred"
"","12023","Checks checkout with not empty cart and valid firstName, lastName, zipCode","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithPositiveUserData"
"","1374","Check checkout with empty user data","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutWithEmptyUserData"
"","21053","Check checkout with cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutWithEmptyCart"
"","548","Checks login with empty username and valid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUserName"
"","873","Checks login with valid username and empty password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"","851","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNotValidCred"
"","11323","Check total price equals subtotal plus tax","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkTotalPriceEqualsSubtotalPlusTax"
"","803","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNotValidCred"
"","667","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNotValidCred"
"","2391","Multiple items added to cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CartTest","Chrome","tests.CartTest","checkMultipleItemsAddedToCart"
"","11699","Check subtotal Price equals to sum of items","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkSubtotalPriceEqualsToSumOfItems"
"","514","Checks login with valid username and empty password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","12003","Checks checkout with not empty cart and valid firstName, lastName, zipCode","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutWithPositiveUserData"
"","613","Checks login with empty username and valid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithEmptyUserName"
