"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","622","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNotValidCred"
"","21217","Check checkout with cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutWithEmptyCart"
"","627","Checks login with valid username and empty password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithEmptyPassword"
"","11454","Check subtotal Price equals to sum of items","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkSubtotalPriceEqualsToSumOfItems"
"","685","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNotValidCred"
"","648","Checks login with valid username and empty password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","11238","Check total price equals subtotal plus tax","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkTotalPriceEqualsSubtotalPlusTax"
"","11754","Check total price equals subtotal plus tax","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkTotalPriceEqualsSubtotalPlusTax"
"","11756","Check total price equals subtotal plus tax","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Edge","tests.CheckoutTest","checkTotalPriceEqualsSubtotalPlusTax"
"","2243","Multiple items added to cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CartTest","Chrome","tests.CartTest","checkMultipleItemsAddedToCart"
"","12023","Checks checkout with not empty cart and valid firstName, lastName, zipCode","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithPositiveUserData"
"","690","Checks login with empty username and valid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUserName"
"","1032","Checks login with empty username and valid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUserName"
"","1104","Checks login with valid username and empty password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"","22102","Check checkout with cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithEmptyCart"
"","12293","Check subtotal Price equals to sum of items","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkSubtotalPriceEqualsToSumOfItems"
"","697","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNotValidCred"
"","781","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNotValidCred"
"","795","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNotValidCred"
"","2009","Check checkout with empty user data","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithEmptyUserData"
"","1129","Checks login with valid username and password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithPositiveCred"
"","722","Checks login with valid username and password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","11478","Checks checkout with not empty cart and valid firstName, lastName, zipCode","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutWithPositiveUserData"
"","2959","Multiple items added to cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkMultipleItemsAddedToCart"
