"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12228","Check total price equals subtotal plus tax","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkTotalPriceEqualsSubtotalPlusTax"
"","1021","Checks login with valid username and password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","21449","Check checkout with cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutWithEmptyCart"
"","989","Checks login with valid username and empty password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithEmptyPassword"
"","970","Checks login with empty username and valid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithEmptyUserName"
"","610","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNotValidCred"
"","1220","Checks login with valid username and empty password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"","823","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNotValidCred"
"","528","Checks login with valid username and empty password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","1053","Checks login with valid username and password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithPositiveCred"
"","909","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNotValidCred"
"","661","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNotValidCred"
"","11818","Check subtotal Price equals to sum of items","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSubtotalPriceEqualsToSumOfItems"
"","554","Checks login with valid username and password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithPositiveCred"
"","11994","Checks checkout with not empty cart and valid firstName, lastName, zipCode","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutWithPositiveUserData"
"","1943","Check checkout with empty user data","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutWithEmptyUserData"
"","483","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNotValidCred"
"","11160","Check subtotal Price equals to sum of items","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkSubtotalPriceEqualsToSumOfItems"
"","1454","Multiple items added to cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CartTest","Chrome","tests.CartTest","checkMultipleItemsAddedToCart"
"","3079","Multiple items added to cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkMultipleItemsAddedToCart"
"","2089","Check checkout with empty user data","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithEmptyUserData"
"","677","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNotValidCred"
"","798","Checks login with empty username and valid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUserName"
"","21491","Check checkout with cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithEmptyCart"
"","12653","Checks checkout with not empty cart and valid firstName, lastName, zipCode","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithPositiveUserData"
"","1182","Multiple items added to cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkMultipleItemsAddedToCart"
"","11414","Check total price equals subtotal plus tax","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkTotalPriceEqualsSubtotalPlusTax"
"","1091","Checks login with empty username and valid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUserName"
"","1303","Check checkout with empty user data","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutWithEmptyUserData"
"","12386","Checks checkout with not empty cart and valid firstName, lastName, zipCode","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutWithPositiveUserData"
"","607","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNotValidCred"
"","11392","Check total price equals subtotal plus tax","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Edge","tests.CheckoutTest","checkTotalPriceEqualsSubtotalPlusTax"
"","1225","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNotValidCred"
"","11464","Check subtotal Price equals to sum of items","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkSubtotalPriceEqualsToSumOfItems"
"","22882","Check checkout with cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutWithEmptyCart"
"","524","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNotValidCred"
