"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","921","Check checkout with empty user data","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutWithEmptyUserData"
"","11664","Check total price equals subtotal plus tax","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkTotalPriceEqualsSubtotalPlusTax"
"","1126","Checks login with valid username and password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithPositiveCred"
"","879","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNotValidCred"
"","1101","Checks login with valid username and empty password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"","11699","Check subtotal Price equals to sum of items","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSubtotalPriceEqualsToSumOfItems"
"","11892","Checks checkout with not empty cart and valid firstName, lastName, zipCode","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutWithPositiveUserData"
"","828","Checks login with empty username and valid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUserName"
"","1058","Check checkout with empty user data","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithEmptyUserData"
"","726","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNotValidCred"
"","726","Checks login with valid username and empty password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithEmptyPassword"
"","3404","Multiple items added to cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkMultipleItemsAddedToCart"
"","618","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNotValidCred"
"","830","Checks login with invalid username and invalid password","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNotValidCred"
"","21532","Check checkout with cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutWithEmptyCart"
"","1814","Multiple items added to cart","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkMultipleItemsAddedToCart"
"","11911","Check subtotal Price equals to sum of items","SauceDemo crossBrowser","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkSubtotalPriceEqualsToSumOfItems"
